province,cultivated_areas,harvested_area,product,rain,fertilizer_price,oil_price,plant_price,year,type
สมุทรสาคร,11543,11456,8073,0,15922.24,38.4,7.82,2557,ข้าว
นครปฐม,359925,359525,265957,759.7,15922.24,38.4,7.82,2557,ข้าว
กาญจนบุรี,413002,391695,236485,824.4,15922.24,38.4,7.82,2557,ข้าว
ราชบุรี,319721,314538,211894,1015.8,15922.24,38.4,7.82,2557,ข้าว
สมุทรสงคราม,3759,3759,2639,0,15922.24,38.4,7.82,2557,ข้าว
เพชรบุรี,309329,302146,211231,929.3,15922.24,38.4,7.82,2557,ข้าว
ประจวบคีรีขันธ์,45398,43259,24149,998.5,15922.24,38.4,7.82,2557,ข้าว
ชุมพร,6090,6050,2333,1678,15922.24,38.4,7.82,2557,ข้าว
ระนอง,1171,1159,387,4779.2,15922.24,38.4,7.82,2557,ข้าว
สุราษฎร์ธานี,7021,6990,2667,1629.4,15922.24,38.4,7.82,2557,ข้าว
พังงา,1404,1389,453,0,15922.24,38.4,7.82,2557,ข้าว
ภูเก็ต,63,62,31,2827.6,15922.24,38.4,7.82,2557,ข้าว
กระบี่,6482,6449,1979,2318.6,15922.24,38.4,7.82,2557,ข้าว
ตรัง,12196,12100,4593,2076.9,15922.24,38.4,7.82,2557,ข้าว
นครศรีธรรมราช,295422,292919,131543,2318.4,15922.24,38.4,7.82,2557,ข้าว
พัทลุง,136538,134975,56592,2157.5,15922.24,38.4,7.82,2557,ข้าว
สงขลา,205510,204560,107799,1943,15922.24,38.4,7.82,2557,ข้าว
สตูล,26216,26138,10217,2341.2,15922.24,38.4,7.82,2557,ข้าว
ปัตตานี,94287,93084,35129,2013.9,15922.24,38.4,7.82,2557,ข้าว
ยะลา,41201,40787,14582,2079.2,15922.24,38.4,7.82,2557,ข้าว
นราธิวาส,54394,46977,17733,2377.8,15922.24,38.4,7.82,2557,ข้าว
เชียงราย,1184736,1156442,653588,1431.6,17120.31,28.92,7.82,2558,ข้าว
พะเยา,610728,582041,278834,807.5,17120.31,28.92,7.82,2558,ข้าว
ลำปาง,397426,383471,196160,916.8,17120.31,28.92,7.82,2558,ข้าว
ลำพูน,104227,103192,61971,1076.1,17120.31,28.92,7.82,2558,ข้าว
เชียงใหม่,429911,424813,262959,831.8,17120.31,28.92,7.82,2558,ข้าว
แม่ฮ่องสอน,152572,147923,60584,1064.9,17120.31,28.92,7.82,2558,ข้าว
ตาก,213462,209446,87351,778.6,17120.31,28.92,7.82,2558,ข้าว
กําแพงเพชร,1196302,1183257,683801,967,17120.31,28.92,7.82,2558,ข้าว
สุโขทัย,938438,774147,414427,869.4,17120.31,28.92,7.82,2558,ข้าว
แพร่,269009,267706,145505,902.3,17120.31,28.92,7.82,2558,ข้าว
น่าน,207820,206322,104915,1130.4,17120.31,28.92,7.82,2558,ข้าว
อุตรดิตถ์,528320,430924,244069,825.6,17120.31,28.92,7.82,2558,ข้าว
พิษณุโลก,1346533,1251322,715247,891.3,17120.31,28.92,7.82,2558,ข้าว
พิจิตร,1568895,1489529,875905,909.3,17120.31,28.92,7.82,2558,ข้าว
นครสวรรค์,2146009,2100700,1192895,771.4,17120.31,28.92,7.82,2558,ข้าว
